fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
9cba1f0cdf10a8e5,Marcus Brimage,81801f57bd0a7c41,Russell Doane,f50d95223751e6ca,Russell Doane,Decision - Split,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"July 05, 2014","Las Vegas, Nevada, USA"
c576e311ea337a32,George Roop,3c0437fbeda06962,Rob Font,05339613bf8e9808,Rob Font,KO/TKO,1,2:19,3 Rnd (5-5-5),Bantamweight Bout,"July 05, 2014","Las Vegas, Nevada, USA"
2e8058fb2344ae3f,Chris Camozzi,6c2030e0a143a94b,Bruno Santos,da1d8d76404bb6b5,Bruno Santos,Decision - Split,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"July 05, 2014","Las Vegas, Nevada, USA"
27c34f7a7e1c4d67,Urijah Faber,78114b7199cef90c,Alex Caceres,7aa3d6964eff4877,Urijah Faber,Submission,3,1:09,3 Rnd (5-5-5),Bantamweight Bout,"July 05, 2014","Las Vegas, Nevada, USA"
f560035058bdb18b,Uriah Hall,65578a75fa7900e3,Thiago Santos,dea070ed4a2a8281,Uriah Hall,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"July 05, 2014","Las Vegas, Nevada, USA"
f206143bb9347444,Kenny Robertson,6e0273f9478be71e,Ildemar Alcantara,7c6e87729e824ef4,Kenny Robertson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"July 05, 2014","Las Vegas, Nevada, USA"
5da7d95051699adb,Ronda Rousey,8bdac25ce0bb874d,Alexis Davis,4c2d90e335e6df19,Ronda Rousey,KO/TKO,1,0:16,5 Rnd (5-5-5-5-5),UFC Women's Bantamweight Title Bout,"July 05, 2014","Las Vegas, Nevada, USA"
f966ed41316504b9,Chris Weidman,3a8176e15b9887c1,Lyoto Machida,f7a7f7118d4b01b6,Chris Weidman,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),UFC Middleweight Title Bout,"July 05, 2014","Las Vegas, Nevada, USA"
47cabf79c3340581,Marcelo Guimaraes,0c9c0a43d3f3f49d,Andy Enz,993d385f5a475375,Marcelo Guimaraes,Decision - Split,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"June 28, 2014","San Antonio, Texas, USA"
f3fb4be38377e1e9,Ray Borg,a4de54ea806fb525,Shane Howell,a7de976620f2ed13,Ray Borg,Submission,1,2:17,3 Rnd (5-5-5),Flyweight Bout,"June 28, 2014","San Antonio, Texas, USA"
7d26a6b4b6845e1b,Clint Hester,92b62174c175ce19,Antonio Braga Neto,fae67903c4fe636b,Clint Hester,Decision - Split,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"June 28, 2014","San Antonio, Texas, USA"
4eae10815ebe78e3,Johnny Bedford,ffc3e6daaa6da0b7,Cody Gibson,700a674c042b7a96,Cody Gibson,KO/TKO,1,0:38,3 Rnd (5-5-5),Bantamweight Bout,"June 28, 2014","San Antonio, Texas, USA"
cbf36e02c68e7719,Colton Smith,2e25c1d983c26311,Diego Ferreira,f53d4f21d1b5f2dc,Diego Ferreira,Submission,1,0:38,3 Rnd (5-5-5),Lightweight Bout,"June 28, 2014","San Antonio, Texas, USA"
12bf24fa110513d0,Cezar Ferreira,dbc17725b887860a,Andrew Craig,8a70ceb3edbe757b,Cezar Ferreira,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"June 28, 2014","San Antonio, Texas, USA"
9afda67fdb4d7c07,Joe Ellenberger,8e8e4487c621aa1c,James Moontasri,c06a9b48d4132c8e,Joe Ellenberger,Decision - Split,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"June 28, 2014","San Antonio, Texas, USA"
2c8d1f5bb73a812b,Ricardo Lamas,3974fa35c917af1d,Hacran Dias,ed209f6618c82e41,Ricardo Lamas,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"June 28, 2014","San Antonio, Texas, USA"
0dab467898de22c6,Kelvin Gastelum,8c0580d4fff106c1,Nico Musoke,8b5f9ea38184ded3,Kelvin Gastelum,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"June 28, 2014","San Antonio, Texas, USA"
46cfb41b00cb5ad8,Cub Swanson,d247691a6c0e9034,Jeremy Stephens,18968f97ad34f15c,Cub Swanson,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Featherweight Bout,"June 28, 2014","San Antonio, Texas, USA"
eb13a9d04dca676e,Chris Indich,d5b7fac960e58920,Vik Grujic,1e7483dbff40b84b,Vik Grujic,KO/TKO,1,4:55,3 Rnd (5-5-5),Welterweight Bout,"June 28, 2014","Auckland, New Zealand"
2bb2a2652fe38809,Neil Magny,84b3e7d38f2d2ec5,Rodrigo de Lima,a4dc47001f202bcd,Neil Magny,KO/TKO,2,2:32,3 Rnd (5-5-5),Welterweight Bout,"June 28, 2014","Auckland, New Zealand"
